序号,汉字,"通用规范汉字表等级",数量,ASR等级
849,判,1,228835,1
850,兑,1,31294,1
851,灶,1,13255,1
852,灿,1,15190,1
853,灼,1,13236,1
854,弟,1,263150,1
855,汪,1,43250,1
856,沐,1,10114,1
857,沛,1,8810,1
858,汰,1,22804,1
859,沥,1,8810,1
860,沙,1,166348,1
861,汽,1,205657,1
862,沃,1,43087,1
863,沦,1,17509,1
864,汹,1,4515,1
865,泛,1,81596,1
866,沧,1,12449,1
867,没,1,5297784,1
868,沟,1,106205,1
869,沪,1,19594,1
870,沈,1,30144,1
871,沉,1,163554,1
872,沁,1,4976,1
873,怀,1,316221,1
874,忧,1,65349,1
875,忱,1,1543,2
876,快,1,847070,1
877,完,1,1275308,1
878,宋,1,76164,1
879,宏,1,46798,1
880,牢,1,35677,1
881,究,1,501070,1
882,穷,1,150714,1
883,灾,1,47299,1
884,良,1,268144,1
885,证,1,817464,1
886,启,1,165721,1
887,评,1,904979,1
888,补,1,556554,1
889,初,1,562495,1
890,社,1,1372132,1
891,祀,1,6338,1
892,识,1,858568,1
893,诈,1,25657,1
894,诉,1,414248,1
895,罕,1,17030,1
896,诊,1,109444,1
897,词,1,445780,1
898,译,1,175371,1
899,君,1,123537,1
900,灵,1,295643,1
901,即,1,604818,1
902,层,1,363654,1
903,屁,1,76589,1
904,尿,1,162039,1
905,尾,1,121026,1
906,迟,1,73672,1
907,局,1,355559,1
908,改,1,827473,1
909,张,1,686246,1
910,忌,1,68398,1
911,际,1,464967,1
912,陆,1,240047,1
913,阿,1,330955,1
914,陈,1,152426,1
915,阻,1,101612,1
916,附,1,197935,1
917,坠,1,20239,1
918,妓,1,10935,1
919,妙,1,96176,1
920,妖,1,67637,1
921,姊,1,8986,1
922,妨,1,35381,1
923,妒,1,21091,1
924,努,1,284594,1
925,忍,1,194152,1
926,劲,1,75330,1
927,矣,1,18433,1
928,鸡,1,263151,1
929,纬,1,9664,1
930,驱,1,113523,1
931,纯,1,263605,1
932,纱,1,29830,1
933,纲,1,36678,1
934,纳,1,220706,1
935,驳,1,42076,1
936,纵,1,56042,1
937,纷,1,64705,1
938,纸,1,205870,1
939,纹,1,77747,1
940,纺,1,9771,1
941,驴,1,16939,1
942,纽,1,43643,1
943,奉,1,43477,1
944,玩,1,966862,1
945,环,1,435546,1
946,武,1,351877,1
947,青,1,379010,1
948,责,1,288230,1
949,现,1,3936730,1
950,玫,1,26681,1
951,表,1,1310572,1
952,规,1,584420,1
953,抹,1,49713,1
954,卦,1,32863,1
955,坷,1,6265,1
956,坯,1,2954,1
957,拓,1,29251,1
958,拢,1,11188,1
959,拔,1,83858,1
960,坪,1,7123,1
961,拣,1,6057,1
962,坦,1,116832,1
963,担,1,269928,1
964,坤,1,15223,1
965,押,1,30259,1
966,抽,1,147398,1
967,拐,1,19328,1
968,拖,1,97619,1
969,者,1,2532408,1
970,拍,1,359667,1
971,顶,1,194504,1
972,拆,1,63432,1
973,拎,1,7725,1
974,拥,1,149203,1
975,抵,1,98005,1
976,拘,1,19248,1
977,势,1,386648,1
978,抱,1,215223,1
979,拄,1,888,1
980,垃,1,73968,1
981,拉,1,605682,1
982,拦,1,22981,1
983,幸,1,242061,1
984,拌,1,36039,1
985,拧,1,9121,1
986,拂,1,5142,1
987,拙,1,11367,1
988,招,1,265757,1
989,坡,1,51420,1
990,披,1,26413,1
991,拨,1,37035,1
992,择,1,596090,1
993,抬,1,44424,1
994,拇,1,9900,1
995,拗,1,3686,1
996,其,1,2567254,1
997,取,1,631829,1
998,茉,1,4042,1
999,苦,1,384862,1
1000,昔,1,10059,1
1001,苛,1,11316,1
1002,若,1,240109,1
1003,茂,1,10345,1
1004,苹,1,116327,1
1005,苗,1,46566,1
1006,英,1,751513,1
1007,苟,1,14558,1
1008,苑,1,7345,1
1009,苞,1,2194,1
1010,范,1,235022,1
1011,直,1,1610342,1
1012,茁,1,1181,1
1013,茄,1,26689,1
1014,茎,1,29427,1
1015,苔,1,13720,1
1016,茅,1,18493,1
1017,枉,1,11106,1
1018,林,1,344843,1
1019,枝,1,39426,1
1020,杯,1,140510,1
1021,枢,1,13508,1
1022,柜,1,73326,1
1023,枚,1,68930,1
1024,析,1,298741,1
1025,板,1,410703,1
1026,松,1,228079,1
